gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx942,304,1,6144,3072,ck,8,0,11.3853,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,3.32,1659.13,0.0
gfx942,304,1,6144,4096,ck,8,0,15.234,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,3.3,1653.03,0.0
gfx942,304,1,6144,6144,cktile,2,0,19.5853,a8w8_blockscale_cktile_16x64x512_1x4x1_16x16x64_intrawave_0x1x0_1,3.85,1928.34,0.0
gfx942,304,2,6144,3072,ck,8,0,11.671,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,6.47,1619.83,0.0
gfx942,304,2,6144,4096,ck,8,0,15.9183,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,6.32,1583.0,0.0
gfx942,304,2,6144,6144,ck,8,0,21.6399,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,6.98,1746.11,0.0
gfx942,304,4,6144,3072,ck,8,0,11.6574,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,12.95,1624.36,0.0
gfx942,304,4,6144,4096,ck,8,0,15.8315,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,12.72,1593.74,0.0
gfx942,304,4,6144,6144,ck,8,0,21.7703,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,13.87,1737.34,0.0
gfx942,304,8,6144,3072,ck,8,0,12.4516,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,24.25,1525.69,0.0
gfx942,304,8,6144,4096,ck,8,0,15.9632,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,25.22,1584.7,0.0
gfx942,304,8,6144,6144,ck,8,0,21.9375,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,27.53,1727.46,0.0
gfx942,304,16,6144,3072,ck,8,0,13.0107,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,46.42,1469.57,0.0
gfx942,304,16,6144,6144,ck,8,0,22.19,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,54.44,1714.45,0.0
gfx942,304,24,6144,3072,ck,8,0,13.1243,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,69.03,1466.21,0.0
gfx942,304,24,6144,4096,ck,8,0,16.1824,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,74.65,1579.43,0.0
gfx942,304,24,6144,6144,ck,8,0,22.088,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,82.03,1729.04,0.0
gfx942,304,32,6144,3072,ck,8,0,12.6948,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,95.15,1525.5,0.0
gfx942,304,32,6144,6144,ck,8,0,22.5013,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,107.37,1703.84,0.0
gfx942,304,40,6144,3072,ck,8,0,12.1911,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,123.86,1598.61,0.0
gfx942,304,40,6144,4096,ck,8,0,15.7671,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,127.69,1637.66,0.0
gfx942,304,40,6144,6144,ck,8,0,22.13,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,136.46,1739.09,0.0
gfx942,304,48,6144,3072,ck,8,0,12.8784,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,140.7,1522.83,0.0
gfx942,304,48,6144,6144,ck,8,0,22.0884,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,164.06,1749.04,0.0
gfx942,304,56,6144,3072,ck,13,0,15.3945,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,137.32,1281.92,0.0
gfx942,304,56,6144,4096,ck,18,0,20.868,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,135.07,1249.92,0.0
gfx942,304,56,6144,6144,ck,18,0,28.7559,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,147.03,1348.63,0.0
gfx942,304,64,6144,3072,ck,13,0,15.3546,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,157.34,1293.25,0.0
gfx942,304,64,6144,6144,ck,18,0,27.8125,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,173.73,1399.67,0.0
gfx942,304,72,6144,3072,ck,13,0,15.9215,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,170.71,1254.92,0.0
gfx942,304,72,6144,4096,ck,18,0,20.3708,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,177.9,1293.3,0.0
gfx942,304,72,6144,6144,ck,13,0,28.7401,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,189.14,1359.63,0.0
gfx942,304,80,6144,3072,ck,13,0,15.1225,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,199.7,1329.35,0.0
gfx942,304,80,6144,6144,ck,13,0,29.5271,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,204.55,1328.38,0.0
gfx942,304,88,6144,3072,ck,13,0,15.613,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,212.76,1295.46,0.0
gfx942,304,88,6144,4096,ck,18,0,21.1534,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,209.38,1257.84,0.0
gfx942,304,88,6144,6144,ck,18,0,30.0693,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,220.95,1309.33,0.0
gfx942,304,96,6144,3072,ck,13,0,14.9569,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,242.29,1360.5,0.0
gfx942,304,96,6144,6144,ck,13,0,30.1465,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,240.42,1310.87,0.0
gfx942,304,104,6144,3072,ck,18,0,16.1964,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,242.39,1263.97,0.0
gfx942,304,104,6144,4096,ck,18,0,21.4766,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,243.73,1251.12,0.0
gfx942,304,104,6144,6144,ck,18,0,30.0261,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,261.5,1321.04,0.0
gfx942,304,112,6144,3072,ck,18,0,16.3316,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,258.88,1261.03,0.0
gfx942,304,112,6144,6144,ck,18,0,30.6906,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,275.51,1297.24,0.0
gfx942,304,120,6144,3072,ck,18,0,16.422,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,275.84,1261.57,0.0
gfx942,304,120,6144,4096,ck,18,0,22.185,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,272.25,1222.98,0.0
gfx942,304,120,6144,6144,ck,18,0,31.8976,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,284.02,1252.78,0.0
gfx942,304,128,6144,3072,ck,18,0,16.1074,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,299.98,1293.84,0.0
gfx942,304,128,6144,6144,ck,18,0,29.1387,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,331.64,1376.45,0.0
