gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,1,1024,5120,False,torch.bfloat16,torch.float32,False,False,asm,1,6,11.4605,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0,0.91,916.02
gfx950,256,2,1024,5120,False,torch.bfloat16,torch.float32,False,False,asm,1,6,11.3041,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0,1.86,929.78
gfx950,256,4,1024,5120,False,torch.bfloat16,torch.float32,False,False,asm,1,6,11.3126,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0,3.71,931.25
gfx950,256,6,1024,5120,False,torch.bfloat16,torch.float32,False,False,asm,1,7,11.3455,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0,5.55,930.72
gfx950,256,8,1024,5120,False,torch.bfloat16,torch.float32,False,False,asm,1,5,11.512,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0,7.29,919.39
gfx950,256,12,1024,5120,False,torch.bfloat16,torch.float32,False,False,asm,1,5,11.4806,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0,10.96,926.19
gfx950,256,16,1024,5120,False,torch.bfloat16,torch.float32,False,False,asm,1,6,11.4153,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0,14.7,935.79
gfx950,256,24,1024,5120,False,torch.bfloat16,torch.float32,False,False,asm,1,6,11.6227,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0,21.65,927.55
gfx950,256,32,1024,5120,False,torch.bfloat16,torch.float32,False,False,asm,1,6,11.5704,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0,29.0,940.24
gfx950,256,48,1024,5120,False,torch.bfloat16,torch.float32,False,False,asm,1,5,11.6187,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0,43.32,953.26
gfx950,256,64,1024,5120,False,torch.bfloat16,torch.float32,False,False,asm,1,7,11.9077,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0,56.36,946.63
gfx950,256,96,1024,5120,False,torch.bfloat16,torch.float32,False,False,asm,1,5,11.9062,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0,84.55,979.78
gfx950,256,128,1024,5120,False,torch.bfloat16,torch.float32,False,False,asm,3,5,12.0612,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0,111.28,999.79
gfx950,256,192,1024,5120,False,torch.bfloat16,torch.float32,False,False,asm,5,5,12.5933,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0,159.87,1019.99
gfx950,256,256,1024,5120,False,torch.bfloat16,torch.float32,False,False,asm,8,5,15.92,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0,168.62,856.25
gfx950,256,288,1024,5120,False,torch.bfloat16,torch.float32,False,False,asm,5,3,16.3662,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0,184.52,856.93
gfx950,256,384,1024,5120,False,torch.bfloat16,torch.float32,False,False,asm,8,4,18.1796,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0,221.49,836.34
gfx950,256,512,1024,5120,False,torch.bfloat16,torch.float32,False,False,asm,5,2,22.3187,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0,240.55,751.71
gfx950,256,768,1024,5120,False,torch.bfloat16,torch.float32,False,False,asm,8,2,26.9206,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0,299.14,740.06
gfx950,256,1024,1024,5120,False,torch.bfloat16,torch.float32,False,False,asm,6,1,34.1862,_ZN5aiter37bf16gemm_fp32bf16_tn_64x64_pf3_splitkE,0.0,314.09,674.79
gfx950,256,1536,1024,5120,False,torch.bfloat16,torch.float32,False,False,asm,9,1,39.8045,_ZN5aiter37bf16gemm_fp32bf16_tn_96x64_pf3_splitkE,0.0,404.63,737.61
gfx950,256,2048,1024,5120,False,torch.bfloat16,torch.float32,False,False,opus,1404,0,51.4963,opus_gemm_mono_tile_512x64x128x64_2x4_16x16x32_0x0x0_nooob,0.0,417.02,692.31
gfx950,256,4096,1024,5120,False,torch.bfloat16,torch.float32,False,False,opus,6403,0,61.5786,opus_gemm_mono_tile_512x128x128x64_2x4_16x16x32_0x0x0_nooob_4g_safe,0.0,697.48,987.64
gfx950,256,8192,1024,5120,False,torch.bfloat16,torch.float32,False,False,opus,1401,0,88.734,opus_gemm_mono_tile_512x128x256x64_2x4_16x16x32_0x0x0_nooob,0.0,968.05,1252.61
gfx950,256,16384,1024,5120,False,torch.bfloat16,torch.float32,False,False,opus,312,0,141.2516,opus_gemm_persistent_512x256x256x64_2x4_16x16x32_0x0x0_cA0cB0,0.0,1216.26,1499.54
