gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,1,512,4096,ck,8,3,5.0333,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,0.83,417.67,0.0
gfx950,256,2,512,4096,ck,8,3,3.7169,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.26,566.98,0.0
gfx950,256,4,512,4096,ck,6,3,4.3358,a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_1x1_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1,3.87,488.41,0.0
gfx950,256,8,512,4096,ck,8,3,3.8894,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,8.63,549.73,0.0
gfx950,256,16,512,4096,ck,13,3,4.5538,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,14.74,478.52,0.0
gfx950,256,32,512,4096,ck,18,3,5.4489,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,24.63,414.94,0.0
gfx950,256,48,512,4096,ck,8,3,5.9704,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,33.72,392.42,0.0
gfx950,256,64,512,4096,ck,8,3,6.9364,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,38.7,349.58,0.0
gfx950,256,96,512,4096,ck,8,3,6.7257,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,59.87,384.89,0.0
gfx950,256,128,512,4096,ck,8,2,7.0417,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,76.24,390.89,0.0
gfx950,256,192,512,4096,ck,8,3,10.0337,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,80.26,306.98,0.0
gfx950,256,256,512,4096,ck,8,3,7.7609,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,138.35,439.11,0.0
gfx950,256,384,512,4096,ck,8,3,12.3643,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,130.26,328.63,0.0
gfx950,256,512,512,4096,ck,8,0,13.1434,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,163.39,359.01,0.0
gfx950,256,1,1024,4096,ck,8,3,4.6698,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,1.8,899.49,0.0
gfx950,256,2,1024,4096,ck,8,3,4.0846,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,4.11,1029.87,0.0
gfx950,256,4,1024,4096,ck,8,3,4.1717,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,8.04,1011.31,0.0
gfx950,256,8,1024,4096,ck,8,3,6.932,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,9.68,612.15,0.0
gfx950,256,96,1024,4096,ck,8,3,10.5037,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,76.67,455.47,0.0
gfx950,256,192,1024,4096,ck,8,3,12.139,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,132.68,442.7,0.0
gfx950,256,1,1536,4096,ck,8,3,4.3429,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.9,1450.33,0.0
gfx950,256,2,1536,4096,ck,8,3,4.3766,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,5.75,1440.8,0.0
gfx950,256,4,1536,4096,ck,7,3,5.1876,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,9.7,1218.31,0.0
gfx950,256,8,1536,4096,ck,13,3,6.9476,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,14.49,913.81,0.0
gfx950,256,96,1536,4096,ck,8,3,11.9392,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,101.18,584.59,0.0
gfx950,256,128,1536,4096,ck,8,3,12.6146,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,127.68,571.48,0.0
gfx950,256,192,1536,4096,ck,8,3,15.2218,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,158.71,503.73,0.0
gfx950,256,384,1536,4096,ck,18,0,16.3246,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,295.99,554.01,0.0
gfx950,256,512,1536,4096,ck,18,0,16.5673,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,388.87,601.27,0.0
gfx950,256,1,2048,1536,ck,11,2,4.7441,a8w8_blockscale_1x128x128_256x32x64x128_16x16_16x16_2x1_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1.33,664.27,0.0
gfx950,256,2,2048,1536,ck,6,2,4.4852,a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_1x1_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1,2.81,703.87,0.0
gfx950,256,4,2048,1536,ck,11,2,5.4304,a8w8_blockscale_1x128x128_256x32x64x128_16x16_16x16_2x1_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,4.63,583.43,0.0
gfx950,256,8,2048,1536,ck,8,0,6.4052,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,7.86,498.16,0.0
gfx950,256,16,2048,1536,ck,8,0,6.5735,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,15.31,492.26,0.0
