gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,180,160,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5506,8,6.209,flydsl_hgemm_abf16_wbf16_bf16_t64x64x64x8_ks8_w4x2x1_bias0_ktail0_gm0_pft_gfx950,0.019,38.0,457.86
gfx950,256,186,160,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4914,8,6.3663,flydsl_hgemm_abf16_wbf16_bf16_t64x64x128x3_ks8_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0185,38.29,454.57
gfx950,256,1272,160,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,574,1,11.8166,flydsl_hgemm_abf16_wbf16_bf16_t32x16x128x5_ks1_w1x1x2_bias0_ktail0_gm4_pft_gfx950,0.0049,141.09,1027.2
gfx950,256,7052,160,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,27.3605,native,0.0,337.83,2241.82
gfx950,256,7682,160,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,28.6701,native,0.0,351.2,2326.46
gfx950,256,8070,160,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,113,1,28.8717,flydsl_hgemm_abf16_wbf16_bf16_t128x32x64x4_ks1_w2x1x1_bias0_ktail0_gm4_pft_gfx950,0.0,366.36,2424.61
gfx950,256,8244,160,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,35.9954,native,0.0,300.19,1985.91
gfx950,256,14138,160,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,39.2862,native,0.0,471.69,3096.59
gfx950,256,66,1024,128,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,133,1,2.7711,flydsl_hgemm_abf16_wbf16_bf16_t16x32x64x3_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,6.24,149.47
gfx950,256,72,1024,128,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,218,1,3.0786,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x3_ks1_w2x1x2_bias0_ktail0_gm0_pft_gfx950,0.0001,6.13,139.03
gfx950,256,80,1024,128,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,121,1,2.9158,flydsl_hgemm_abf16_wbf16_bf16_t16x32x128x2_ks1_w1x1x1_bias0_ktail0_gm0_pft_gfx950,0.0,7.19,153.12
gfx950,256,84,1024,128,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,122,1,2.8837,flydsl_hgemm_abf16_wbf16_bf16_t16x16x64x3_ks1_w1x1x1_bias0_ktail0_gm0_pft_gfx950,0.0,7.64,158.02
gfx950,256,88,1024,128,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,137,1,2.9349,flydsl_hgemm_abf16_wbf16_bf16_t16x32x64x3_ks1_w1x1x1_bias0_ktail0_gm0_pft_gfx950,0.0,7.86,158.4
gfx950,256,90,1024,128,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,139,1,2.8534,flydsl_hgemm_abf16_wbf16_bf16_t16x32x64x3_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,8.27,164.54
gfx950,256,96,1024,128,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,122,1,2.8452,flydsl_hgemm_abf16_wbf16_bf16_t16x16x64x3_ks1_w1x1x1_bias0_ktail0_gm0_pft_gfx950,0.0,8.85,169.87
gfx950,256,104,1024,128,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,114,1,2.9256,flydsl_hgemm_abf16_wbf16_bf16_t16x16x128x2_ks1_w1x1x1_bias0_ktail0_gm0_pft_gfx950,0.0,9.32,171.51
gfx950,256,108,1024,128,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,139,1,2.852,flydsl_hgemm_abf16_wbf16_bf16_t16x32x64x3_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,9.93,179.16
gfx950,256,112,1024,128,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,137,1,2.9026,flydsl_hgemm_abf16_wbf16_bf16_t16x32x64x3_ks1_w1x1x1_bias0_ktail0_gm0_pft_gfx950,0.0,10.12,179.22
gfx950,256,114,1024,128,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,145,1,2.9198,flydsl_hgemm_abf16_wbf16_bf16_t16x32x64x3_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,10.24,179.74
gfx950,256,120,1024,128,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,145,1,2.79,flydsl_hgemm_abf16_wbf16_bf16_t16x32x64x3_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,11.28,193.06
gfx950,256,162,1024,128,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,236,1,2.9441,flydsl_hgemm_abf16_wbf16_bf16_t32x16x64x3_ks1_w1x1x1_bias0_ktail0_gm0_pft_gfx950,0.0,14.42,215.82
gfx950,256,180,1024,128,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,252,1,3.0269,flydsl_hgemm_abf16_wbf16_bf16_t32x32x128x2_ks1_w2x1x1_bias0_ktail0_gm0_pft_gfx950,0.0,15.59,223.62
gfx950,256,186,1024,128,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,145,1,2.9839,flydsl_hgemm_abf16_wbf16_bf16_t16x32x64x3_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,16.34,231.47
gfx950,256,204,1024,128,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,160,1,2.8962,flydsl_hgemm_abf16_wbf16_bf16_t16x64x64x3_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,18.46,252.8
gfx950,256,210,1024,128,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,141,1,2.9766,flydsl_hgemm_abf16_wbf16_bf16_t16x32x64x3_ks1_w1x1x1_bias0_ktail0_gm0_pft_gfx950,0.0,18.49,250.62
gfx950,256,324,1024,128,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,319,1,3.0491,flydsl_hgemm_abf16_wbf16_bf16_t32x64x64x3_ks1_w1x4x1_bias0_ktail0_gm0_pft_gfx950,0.0,27.86,330.8
gfx950,256,352,1024,128,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,322,1,3.0225,flydsl_hgemm_abf16_wbf16_bf16_t32x64x64x3_ks1_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,30.53,355.05
gfx950,256,450,1024,128,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,322,1,3.1174,flydsl_hgemm_abf16_wbf16_bf16_t32x64x64x3_ks1_w1x4x1_bias0_ktail0_gm0_pft_gfx950,0.0,37.84,416.68
gfx950,256,480,1024,128,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,322,1,3.0763,flydsl_hgemm_abf16_wbf16_bf16_t32x64x64x3_ks1_w1x4x1_bias0_ktail0_gm0_pft_gfx950,0.0,40.9,444.71
gfx950,256,496,1024,128,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,531,1,3.2003,flydsl_hgemm_abf16_wbf16_bf16_t64x32x64x3_ks1_w2x1x1_bias0_ktail0_gm0_pft_gfx950,0.0,40.63,439.0
gfx950,256,512,1024,128,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,339,1,3.1033,flydsl_hgemm_abf16_wbf16_bf16_t32x64x64x3_ks1_w1x4x1_bias0_ktail0_gm0_pft_gfx950,0.0,43.25,464.6
gfx950,256,1030,1024,128,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,532,1,3.8588,flydsl_hgemm_abf16_wbf16_bf16_t96x64x64x3_ks1_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,69.97,682.92
gfx950,256,1338,1024,128,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,475,1,4.1314,flydsl_hgemm_abf16_wbf16_bf16_t64x64x64x3_ks1_w4x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,84.9,809.63
gfx950,256,2310,1024,128,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,300,1,5.0594,flydsl_hgemm_abf16_wbf16_bf16_t64x64x64x2_ks1_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,119.69,1103.76
gfx950,256,2484,1024,128,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,435,1,5.2103,flydsl_hgemm_abf16_wbf16_bf16_t96x64x64x3_ks1_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,124.98,1148.74
gfx950,256,7066,1024,128,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,20,1,8.8396,flydsl_hgemm_abf16_wbf16_bf16_t128x128x64x2_ks1_w4x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,209.55,1871.38
gfx950,256,7680,1024,128,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,204,1,9.1889,flydsl_hgemm_abf16_wbf16_bf16_t64x256x64x2_ks1_w2x4x1_bias0_ktail0_gm0_pft_gfx950,0.0,219.1,1954.19
gfx950,256,7681,1024,128,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,12,1,9.1058,flydsl_hgemm_abf16_wbf16_bf16_t128x128x64x2_ks1_w2x2x1_bias0_ktail0_gm4_pft_gfx950,0.0,221.13,1972.28
gfx950,256,31684,1024,512,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,40.1978,native,0.0,826.49,2447.44
gfx950,256,8,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,392,4,6.9811,flydsl_hgemm_abf16_wbf16_bf16_t16x32x64x9_ks4_w1x1x1_bias0_ktail0_gm0_pft_gfx950,0.0125,19.23,2417.32
gfx950,256,162,2048,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2875,1,7.5803,flydsl_hgemm_abf16_wbf16_bf16_t48x32x128x4_ks1_w1x2x2_bias0_ktail0_gm4_pft_gfx950,0.0031,134.46,983.16
gfx950,256,180,2048,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2874,1,7.6795,flydsl_hgemm_abf16_wbf16_bf16_t48x32x128x5_ks1_w1x2x2_bias0_ktail0_gm0_pft_gfx950,0.0031,147.47,987.26
gfx950,256,186,2048,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2874,1,7.7732,flydsl_hgemm_abf16_wbf16_bf16_t48x32x128x5_ks1_w1x2x2_bias0_ktail0_gm0_pft_gfx950,0.0031,150.54,980.9
gfx950,256,186,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,4,13.8601,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0115,225.15,1375.37
gfx950,256,204,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3714,2,14.4094,flydsl_hgemm_abf16_wbf16_bf16_t64x64x64x6_ks2_w4x2x1_bias0_ktail0_gm0_pft_gfx950,0.0048,237.52,1338.29
gfx950,256,352,2048,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2291,1,9.4927,flydsl_hgemm_abf16_wbf16_bf16_t48x64x128x3_ks1_w1x4x1_bias0_ktail0_gm4_pft_gfx950,0.0,233.29,928.57
gfx950,256,1242,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1312,1,33.9442,flydsl_hgemm_abf16_wbf16_bf16_t64x96x64x4_ks1_w1x2x1_bias0_ktail0_gm4_pft_gfx950,0.0,613.87,943.87
gfx950,256,2049,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,47.6225,native,0.0,721.85,881.0
gfx950,256,2306,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,49.92,native,0.0,775.01,903.71
gfx950,256,2308,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,49.7219,native,0.0,778.77,907.81
gfx950,256,2310,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,49.9083,native,0.0,776.53,904.91
gfx950,256,2316,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,49.0187,native,0.0,792.68,922.84
gfx950,256,2330,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,49.6587,native,0.0,787.19,914.41
gfx950,256,2332,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,49.4075,native,0.0,791.87,919.55
gfx950,256,2360,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,49.45,native,0.0,800.69,925.72
gfx950,256,2484,2048,1536,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,22.9667,native,0.0,680.46,1049.2
gfx950,256,2484,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,48.3174,native,0.0,862.52,978.96
gfx950,256,3072,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False,opus,6402,0,56.8013,opus_gemm_mono_tile_512x192x128x64_2x4_16x16x32_0x0x0_nooob_4g_safe,0.0,907.37,959.94
