M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
6,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
7,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
8,160,4096,False,torch.bfloat16,torch.bfloat16,False,False
8,1024,128,False,torch.bfloat16,torch.bfloat16,False,False
8,2048,1536,False,torch.bfloat16,torch.bfloat16,False,False
8,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False
8,3336,4096,False,torch.bfloat16,torch.bfloat16,False,False
8,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
8,4096,1536,False,torch.bfloat16,torch.bfloat16,False,False
8,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False
8,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
9,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
10,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
11,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
12,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
13,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
14,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
15,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
16,1024,128,False,torch.bfloat16,torch.bfloat16,False,False
16,3336,4096,False,torch.bfloat16,torch.bfloat16,False,False
16,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
17,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
18,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
19,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
20,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
21,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
22,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
23,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
24,1024,128,False,torch.bfloat16,torch.bfloat16,False,False
24,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False
24,3336,4096,False,torch.bfloat16,torch.bfloat16,False,False
24,4096,1536,False,torch.bfloat16,torch.bfloat16,False,False
24,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False
24,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
25,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
26,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
27,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
28,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
29,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
30,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
31,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
32,1024,128,False,torch.bfloat16,torch.bfloat16,False,False
32,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False
32,3336,4096,False,torch.bfloat16,torch.bfloat16,False,False
32,4096,1536,False,torch.bfloat16,torch.bfloat16,False,False
32,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False
32,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
34,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
36,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
38,19360,4096,False,torch.bfloat16,torch.bfloat16,False,False
40,1024,128,False,torch.bfloat16,torch.bfloat16,False,False
40,2048,1536,False,torch.bfloat16,torch.bfloat16,False,False
40,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False
40,3336,4096,False,torch.bfloat16,torch.bfloat16,False,False
40,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
40,4096,1536,False,torch.bfloat16,torch.bfloat16,False,False
40,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False
