gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
gfx942,80,1,4096,192,192,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,16,0,15.629040000000078,impl__flydsl_gfx942__16_16_16_False,74.39%,0.0,,0%,15.629040000000078,0,0,0,0.0,0.0,
gfx942,80,2,4096,192,192,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,16,0,31.285959999999886,impl__flydsl_gfx942__16_16_16_False,72.02%,0.0,,0%,31.285959999999886,0,0,0,0.0,0.0,
gfx942,80,4,4096,192,192,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,16,0,43.2819199999999,impl__flydsl_gfx942__16_16_16_False,72.56%,0.0,,0%,43.2819199999999,0,0,0,0.0,0.0,
gfx942,80,8,4096,192,192,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,16,0,59.80536734693873,impl__flydsl_gfx942__16_16_16_False,72.64%,0.0,,0%,59.80536734693873,0,0,0,0.0,0.0,
gfx942,80,16,4096,192,192,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,16,0,90.97008000000014,impl__flydsl_gfx942__16_16_16_False,73.03%,0.0,,0%,90.97008000000014,0,0,0,0.0,0.0,
gfx942,80,32,4096,192,192,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,16,0,133.85241860465118,impl__flydsl_gfx942__16_16_16_False,72.76%,0.0,,0%,133.85241860465118,0,0,0,0.0,0.0,
gfx942,80,64,4096,192,192,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,16,0,155.22131999999993,impl__flydsl_gfx942__16_16_16_False,72.66%,0.0,,0%,155.22131999999993,0,0,0,0.0,0.0,
gfx942,80,128,4096,192,192,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,16,0,188.81854999999996,impl__flydsl_gfx942__16_16_16_False,72.94%,0.0,,0%,188.81854999999996,0,0,0,0.0,0.0,
gfx942,80,256,4096,192,192,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,16,0,92.7642,moe_ck2stages_gemm1_256x16x64x256_1x4_MulABScale_v1_Nswizzle0_Quant1_MulRoutedWeight0_silu_F8_F8_B16,0.0%,99.9321,moe_ck2stages_gemm2_64x16x64x64_1x1_MulABScaleExpertWeight_v1_Nswizzle0_Quant1_MulRoutedWeight1_F8_F8_B16,0.1%,192.6963,0,0,0,50.15,2367.1,
gfx942,80,512,4096,192,192,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,64,0,364.83119999999866,impl__flydsl_gfx942__64_128_256_True,0.04%,0.0,,0%,364.83119999999866,0,0,0,0.0,0.0,
gfx942,80,1024,4096,192,192,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,64,0,399.49430612244873,impl__flydsl_gfx942__64_128_256_True,0.00%,0.0,,0%,399.49430612244873,0,0,0,0.0,0.0,
