gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
gfx950,256,1,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,9.4644,flydsl_mxmoe_g1_a4w4_16x128x256_f16in_hpf_nt_situv2_xcd4,0.011672,3.5948,flydsl_moe2_layout_afp4_wfp4_bf16_t16x128x128_atomic_sbm16,0.011672,13.0593,0,0,0,10.12,283276.05,
gfx950,256,2,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,10.9675,flydsl_mxmoe_g1_a4w4_16x128x256_f16in_hpf_nt_situv2,0.011426,4.3253,flydsl_moe2_layout_afp4_wfp4_bf16_t16x256x128_atomic_sbm16,0.011426,15.2928,0,0,0,17.28,241904.53,
gfx950,256,3,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,14.3527,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w4_kw2_fp4,0.1%,6.8390,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x128_atomic_sbm32,0.0%,21.1917,0,0,0,18.70,174568.74,
gfx950,256,4,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,16.9802,flydsl_mxmoe_g1_a4w4_32x64x256_situv2_kw2_w2,0.010936,10.2286,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x128_atomic_sbm32,0.0%,27.2088,0,0,0,19.42,135964.07,
gfx950,256,8,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,29.2814,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3_kw2_fp4,0.1%,16.5928,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x128_atomic_sbm32,0.0%,45.8742,0,0,0,23.04,80643.63,
gfx950,256,16,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,59.9868,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_hpf_nt_situv2_xcd2,1.2%,29.2561,flydsl_moe2_layout_afp4_wfp4_bf16_t16x128x128_atomic_sbm16,1.2%,89.2428,0,0,0,23.69,41454.86,
gfx950,256,32,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,112.3770,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w4_kw2_fp4,1.1%,57.5152,flydsl_moe2_layout_afp4_wfp4_bf16_t32x256x128_atomic_nt_sbm32,1.1%,169.8920,0,0,0,24.89,21776.89,
gfx950,256,64,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,191.2320,flydsl_mxmoe_g1_a4w4_16x128x256_f16in_hpf_nt_situv2_xcd4,1.1%,100.8610,flydsl_moe2_layout_afp4_wfp4_bf16_t16x128x128_atomic_nt_sbm16,1.1%,292.0930,0,0,0,28.95,12667.42,
gfx950,256,128,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,191.1480,flydsl_mxmoe_g1_a4w4_16x128x256_f16in_nt_situv2_xcd2,1.1%,102.1110,flydsl_moe2_layout_afp4_wfp4_bf16_t16x128x128_atomic_nt_sbm16,1.1%,293.2590,0,0,0,57.67,12619.40,
gfx950,256,256,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,193.5920,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3_kw2_fp4,1.1%,106.5110,flydsl_moe2_layout_afp4_wfp4_bf16_t32x256x128_atomic_nt_sbm32,1.1%,300.1030,0,0,0,112.70,12336.19,
gfx950,256,512,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,194.6570,flydsl_mxmoe_g1_a4w4_16x128x256_f16in_nt_situv2_xcd2,1.1%,112.0920,flydsl_moe2_layout_afp4_wfp4_bf16_t16x128x128_atomic_nt_sbm16,1.1%,306.7500,0,0,0,220.52,12077.85,
gfx950,256,1024,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,197.0550,flydsl_mxmoe_g1_a4w4_32x128x256_nt_situv2_xcd2,1.1%,130.6340,flydsl_moe2_layout_afp4_wfp4_bf16_t32x256x128_atomic_nt_sbm32_sp801,1.1%,327.6890,0,0,0,412.87,11322.89,
gfx950,256,2048,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,209.2010,flydsl_mxmoe_g1_a4w4_64x256x256_nt_situv2_xcd2,1.2%,166.1490,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x128_reduce_nt_sbm64,1.2%,375.3500,0,0,0,720.88,9914.47,
gfx950,256,4096,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,274.9500,flydsl_mxmoe_g1_a4w4_128x256x256_situv2_xcd1,2.1%,249.6400,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x128_reduce_sbm128_sp1601,0.0%,524.5900,0,0,0,1031.60,7135.89,
gfx950,256,8192,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,160,0,358.3010,flydsl_mxmoe_g1_a4w4_160x256x256_situv2_xcd2,2.1%,424.1630,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x128_reduce_sbm160_sp801,0.0%,782.4640,0,0,0,1383.24,4840.42,
gfx950,256,16384,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,604.2140,flydsl_mxmoe_g1_a4w4_64x256x256_situv2_xcd2,2.1%,666.2810,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x128_reduce_sbm64_sp2401,0.0%,1270.5000,0,0,0,1703.79,3050.40,
gfx950,256,32768,3584,384,896,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,914.2110,flydsl_mxmoe_g1_a4w4_128x256x256_situv2_xcd2,2.1%,1225.3500,flydsl_moe2_layout_afp4_wfp4_bf16_t128x256x128_reduce_sbm128_sp3201,0.0%,2139.5600,0,0,0,2023.47,1893.71,
gfx950,256,16,3584,3072,56,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w4,,,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x128_atomic_persist_nt_sbm32,,,0,0,0,0,0,
gfx950,256,32,3584,3072,56,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w4,,,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x128_atomic_persist_nt_sbm32,,,0,0,0,0,0,
gfx950,256,64,3584,3072,56,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w4,,,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x128_atomic_persist_nt_sbm32,,,0,0,0,0,0,
gfx950,256,128,3584,3072,56,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w4,,,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x128_atomic_persist_nt_sbm32,,,0,0,0,0,0,
gfx950,256,256,3584,3072,56,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w4,,,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x128_atomic_persist_nt_sbm32,,,0,0,0,0,0,
gfx950,256,512,3584,3072,56,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w3_bnt0,,,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x128_atomic_nt_sbm64,,,0,0,0,0,0,
gfx950,256,1024,3584,3072,56,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w3_bnt0,,,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x128_atomic_persist_sbm64,,,0,0,0,0,0,
gfx950,256,2048,3584,3072,56,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w4,,,flydsl_moe2_layout_afp4_wfp4_bf16_t32x256x256_atomic_nt_sbm32,,,0,0,0,0,0,
gfx950,256,4096,3584,3072,56,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w3_bnt0,,,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x128_atomic_persist_sbm64,,,0,0,0,0,0,
gfx950,256,8192,3584,3072,56,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,,flydsl_moe1_afp4_wfp4_bf16_t128x128x256_w3_bnt0,,,flydsl_moe2_layout_afp4_wfp4_bf16_t128x256x256_atomic_nt_sbm128,,,0,0,0,0,0,
gfx950,256,16384,3584,3072,56,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,,flydsl_moe1_afp4_wfp4_bf16_t128x128x256_w3_bnt0,,,flydsl_moe2_layout_afp4_wfp4_bf16_t128x256x256_atomic_nt_sbm128,,,0,0,0,0,0,
gfx950,256,32768,3584,3072,56,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,,flydsl_moe1_afp4_wfp4_bf16_t128x128x256_w3_bnt0,,,flydsl_moe2_layout_afp4_wfp4_bf16_t128x256x256_atomic_nt_sbm128,,,0,0,0,0,0,
gfx950,256,131072,3584,3072,56,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,,flydsl_moe1_afp4_wfp4_bf16_t128x128x256_w3_bnt0,,,flydsl_moe2_layout_afp4_wfp4_bf16_t128x256x256_atomic_nt_sbm128,,,0,0,0,0,0,
