gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx1250,256,1,12,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,20002,6,3.9181,opus_gemm_gfx1250_splitk_cluster_tdm_ws_128x16x32x512_1x2_16x16x32_0x0x0_p3w1,0.0,0.04,47.57
gfx1250,256,1,24,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,20002,6,3.8541,opus_gemm_gfx1250_splitk_cluster_tdm_ws_128x16x32x512_1x2_16x16x32_0x0x0_p3w1,0.0,0.09,93.0
gfx1250,256,1,128,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,20121,10,4.2327,opus_gemm_gfx1250_splitk_clusterlaunch_tdm_ws_128x16x32x256_1x2_16x16x32_0x0x0_c1x2_p3w2,0.0078,0.43,436.98
gfx1250,256,1,576,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,20125,11,4.9812,opus_gemm_gfx1250_splitk_clusterlaunch_tdm_ws_128x16x32x256_1x2_16x16x32_0x0x0_c1x3_p3w2,0.0139,1.66,1660.85
gfx1250,256,1,896,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,20255,10,5.2648,opus_gemm_gfx1250_splitk_clusterlaunch_tdm_ws_128x32x32x256_2x1_16x16x32_0x0x0_c1x4_p3w2,0.0145,2.44,2442.86
gfx1250,256,1,1536,128,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,3.8059,auto,0.0,0.1,104.19
gfx1250,256,1,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,20129,10,6.103,opus_gemm_gfx1250_splitk_clusterlaunch_tdm_ws_128x16x32x256_1x2_16x16x32_0x0x0_c1x4_p3w2,0.0124,3.61,3610.93
gfx1250,256,1,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False,opus,20129,4,5.5783,opus_gemm_gfx1250_splitk_clusterlaunch_tdm_ws_128x16x32x256_1x2_16x16x32_0x0x0_c1x4_p3w2,0.0056,1.27,1270.2
gfx1250,256,1,3072,128,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,4.1893,auto,0.0,0.19,189.25
gfx1250,256,1,3072,512,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,5.4432,auto,0.0,0.58,579.24
gfx1250,256,1,3072,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,20129,5,8.486,opus_gemm_gfx1250_splitk_clusterlaunch_tdm_ws_128x16x32x256_1x2_16x16x32_0x0x0_c1x4_p3w2,0.0081,5.19,5192.16
