gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
gfx942,80,1,6144,384,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,21.59386999999993,impl__flydsl_gfx942__16_16_16_False,80.19%,0.0,,0%,21.59386999999993,0,0,0,0.0,0.0,
gfx942,80,1,6144,384,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,23.183079999999883,impl__flydsl_gfx942__16_16_16_False,82.00%,0.0,,0%,23.183079999999883,0,0,0,0.0,0.0,
gfx942,80,2,6144,384,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,39.00315000000008,impl__flydsl_gfx942__16_16_16_False,80.48%,0.0,,0%,39.00315000000008,0,0,0,0.0,0.0,
gfx942,80,2,6144,384,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,40.01235000000042,impl__flydsl_gfx942__16_16_16_False,82.66%,0.0,,0%,40.01235000000042,0,0,0,0.0,0.0,
gfx942,80,4,6144,384,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,56.29481999999998,impl__flydsl_gfx942__16_16_16_False,81.14%,0.0,,0%,56.29481999999998,0,0,0,0.0,0.0,
gfx942,80,4,6144,384,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,58.25217021276555,impl__flydsl_gfx942__16_16_16_False,82.30%,0.0,,0%,58.25217021276555,0,0,0,0.0,0.0,
gfx942,80,8,6144,384,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,83.95738000000016,impl__flydsl_gfx942__16_16_16_False,81.48%,0.0,,0%,83.95738000000016,0,0,0,0.0,0.0,
gfx942,80,8,6144,384,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,97.16061000000009,impl__flydsl_gfx942__16_16_16_False,82.04%,0.0,,0%,97.16061000000009,0,0,0,0.0,0.0,
gfx942,80,16,6144,384,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,67.9697,moe_ck2stages_gemm1_256x16x64x256_1x4_MulABScale_v1_Nswizzle0_Quant2_MulRoutedWeight0_swiglu_F8_F8_B16,0.0%,48.4214,moe_ck2stages_gemm2_128x16x128x128_1x2_MulABScaleExpertWeight_v1_Nswizzle0_Quant2_MulRoutedWeight1_F8_F8_B16,2.7%,116.3911,0,0,0,7.78,7786.37,
gfx942,80,16,6144,384,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,159.72416091954034,impl__flydsl_gfx942__16_16_16_False,81.71%,0.0,,0%,159.72416091954034,0,0,0,0.0,0.0,
