gfx,cu_num,M,N,K,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,1,256,5120,21,0,6.1012,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,0.43,107.92,0.0
gfx950,256,2,256,5120,21,0,6.0669,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,0.86,109.03,0.0
gfx950,256,4,256,5120,21,0,6.1476,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,1.71,108.6,0.0
gfx950,256,8,256,5120,21,0,6.0555,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,3.46,112.28,0.0
gfx950,256,16,256,5120,21,0,6.3407,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,6.61,111.11,0.0
gfx950,256,32,256,5120,21,0,6.8311,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,12.28,110.33,0.0
gfx950,256,48,256,5120,21,0,6.8857,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,18.27,116.59,0.0
gfx950,256,64,256,5120,21,0,7.3492,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,22.83,115.93,0.0
gfx950,256,80,256,5120,21,0,7.2093,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,29.09,124.99,0.0
gfx950,256,96,256,5120,29,0,8.1122,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_64x128E,31.02,117.14,0.0
gfx950,256,112,256,5120,21,0,7.6492,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,38.38,130.66,0.0
gfx950,256,128,256,5120,21,0,8.2189,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,40.83,127.58,0.0
gfx950,256,144,256,5120,21,0,7.6972,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,49.04,142.61,0.0
