gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
gfx942,80,1,2048,128,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,11.453785714285916,impl__flydsl_gfx942__16_16_16_False,46.53%,0.0,,0%,11.453785714285916,0,0,0,0.0,0.0,
gfx942,80,1,2048,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,20.14987234042544,impl__flydsl_gfx942__16_16_16_False,67.04%,0.0,,0%,20.14987234042544,0,0,0,0.0,0.0,
gfx942,80,2,2048,128,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,24.401119999999974,impl__flydsl_gfx942__16_16_16_False,47.51%,0.0,,0%,24.401119999999974,0,0,0,0.0,0.0,
gfx942,80,2,2048,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,36.64301030927841,impl__flydsl_gfx942__16_16_16_False,68.63%,0.0,,0%,36.64301030927841,0,0,0,0.0,0.0,
gfx942,80,4,2048,128,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,28.52530612244904,impl__flydsl_gfx942__16_16_16_False,51.26%,0.0,,0%,28.52530612244904,0,0,0,0.0,0.0,
gfx942,80,4,2048,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,52.84561000000015,impl__flydsl_gfx942__16_16_16_False,68.85%,0.0,,0%,52.84561000000015,0,0,0,0.0,0.0,
gfx942,80,8,2048,128,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,38.10469791666651,impl__flydsl_gfx942__16_16_16_False,51.07%,0.0,,0%,38.10469791666651,0,0,0,0.0,0.0,
gfx942,80,8,2048,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,80.93223999999998,impl__flydsl_gfx942__16_16_16_False,67.30%,0.0,,0%,80.93223999999998,0,0,0,0.0,0.0,
gfx942,80,16,2048,128,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,53.18460000000006,impl__flydsl_gfx942__16_16_16_False,49.64%,0.0,,0%,53.18460000000006,0,0,0,0.0,0.0,
gfx942,80,16,2048,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,63.5899,moe_ck2stages_gemm1_256x16x64x256_1x4_MulABScale_v1_Nswizzle0_Quant2_MulRoutedWeight0_silu_F8_F8_B16,0.0%,40.3949,moe_ck2stages_gemm2_256x16x128x256_1x4_MulABScaleExpertWeight_v1_Nswizzle0_Quant2_MulRoutedWeight1_F8_F8_B16,0.0%,103.9848,0,0,0,8.71,7775.66,
gfx942,80,32,2048,128,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,65.68907954545443,impl__flydsl_gfx942__16_16_16_False,49.73%,0.0,,0%,65.68907954545443,0,0,0,0.0,0.0,
gfx942,80,32,2048,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,107.1452,moe_ck2stages_gemm1_256x16x64x256_1x4_MulABScale_v1_Nswizzle0_Quant2_MulRoutedWeight0_silu_F8_F8_B16,0.0%,62.587,moe_ck2stages_gemm2_256x16x128x256_1x4_MulABScaleExpertWeight_v1_Nswizzle0_Quant2_MulRoutedWeight1_F8_F8_B16,0.0%,169.7322,0,0,0,10.68,4764.26,
gfx942,80,64,2048,128,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,16,0,84.83849999999974,impl__flydsl_gfx942__16_16_16_False,49.55%,0.0,,0%,84.83849999999974,0,0,0,0.0,0.0,
